loan_id,loan_amount,loan_term,credit_score,income,employment_status,purpose_loan,property_ownership,approval_status
655E5EDDF,202,3,2,8674,Employed,Education,Owned,1
E55A163DF,535,6,3,3371,Employed,Small Business Funding,Owned,1
26F563AE4,960,4,4,2422,Employed,Debt Consolidation,Rented,1
FFB12F39D,370,9,2,9124,Self-employed,Debt Consolidation,Rented,1
C3606D2DF,206,7,4,4005,Unemployed,Debt Consolidation,Rented,1
3EF6274F2,171,9,2,6549,Self-employed,Small Business Funding,Owned,1
049926D0C,800,10,2,8410,Employed,Investment,Rented,1
748194F8D,120,3,3,6602,Unemployed,Education,Rented,1
A829369F6,714,1,1,7261,Self-employed,Education,Mortgaged,1
7F5DCCE1A,221,5,3,6411,Employed,Education,Owned,0
7996A3C03,566,3,2,7795,Unemployed,Investment,Mortgaged,1
FBD32B2E6,314,6,1,2763,Unemployed,Home Improvement,Owned,0
56A5DAB42,430,8,1,7351,Employed,Home Improvement,Owned,0
28F9DE238,558,11,4,5368,Employed,Education,Rented,1
37BCB4BFC,187,4,2,2897,Unemployed,Debt Consolidation,Mortgaged,1
BA1DBEEE7,472,5,3,2952,Employed,Debt Consolidation,Mortgaged,0
0AAC655FC,199,5,1,4922,Self-employed,Small Business Funding,Rented,1
4FFC09762,971,4,1,7691,Employed,Home Improvement,Mortgaged,1
BBD641682,763,4,3,9059,Employed,Debt Consolidation,Mortgaged,1
6351219BB,230,4,3,8165,Employed,Education,Owned,1
D2C6C2077,761,4,1,6479,Unemployed,Small Business Funding,Mortgaged,1
656BC912D,408,4,3,5197,Unemployed,Home Improvement,Mortgaged,1
00F7A153F,869,5,4,6198,Employed,Small Business Funding,Owned,1
33CCF4946,443,2,1,2899,Unemployed,Debt Consolidation,Rented,1
210458771,591,2,4,6023,Employed,Education,Owned,0
1A3BD208F,513,9,2,8876,Self-employed,Education,Rented,1
8AFC6DE70,905,2,4,6205,Unemployed,Education,Rented,1
11C23BAA7,485,6,3,5641,Employed,Debt Consolidation,Owned,0
77011BCC1,291,2,1,5543,Unemployed,Investment,Owned,1
C963C0244,376,5,4,9232,Self-employed,Education,Rented,1
F40FF266D,260,4,3,7591,Self-employed,Investment,Owned,0
C960585F2,559,7,3,5641,Employed,Education,Owned,0
E098E69D5,413,7,4,6765,Unemployed,Investment,Mortgaged,1
C85EB3081,121,6,1,9243,Self-employed,Home Improvement,Owned,1
BBADCF6C6,352,10,4,5090,Unemployed,Home Improvement,Owned,1
2E94591B9,847,5,2,6479,Employed,Education,Mortgaged,1
A48A71615,956,1,4,8116,Self-employed,Small Business Funding,Rented,1
07F1E2EB0,660,3,4,8333,Self-employed,Small Business Funding,Rented,1
49173A4EB,574,9,1,2761,Unemployed,Debt Consolidation,Owned,1
1499ED12B,158,1,4,4407,Self-employed,Home Improvement,Owned,1
3A10D1BE7,610,5,3,9018,Employed,Home Improvement,Rented,1
E42907533,781,2,1,2885,Employed,Small Business Funding,Owned,0
9D18C49B5,575,4,3,9619,Self-employed,Education,Rented,0
890D28B16,799,11,1,8222,Employed,Debt Consolidation,Rented,0
BC9ED4EED,882,1,2,4643,Self-employed,Home Improvement,Mortgaged,1
8387732EE,289,3,2,5243,Self-employed,Debt Consolidation,Mortgaged,1
F1D8235D7,786,10,2,3235,Self-employed,Home Improvement,Owned,0
DE788903B,662,7,4,4933,Self-employed,Investment,Owned,1
B5680B5E8,975,10,2,7110,Unemployed,Investment,Rented,1
ACDE527BE,666,3,1,3468,Self-employed,Debt Consolidation,Owned,1
1E4B4BBA3,343,4,2,8292,Employed,Small Business Funding,Mortgaged,1
402FC74FB,931,2,1,2009,Unemployed,Small Business Funding,Rented,0
8F7170AE6,604,3,3,7661,Employed,Home Improvement,Rented,1
D41F8F3FF,230,9,4,2791,Self-employed,Investment,Owned,1
86B516851,584,3,3,8063,Employed,Investment,Rented,1
A367136CE,918,11,3,7174,Unemployed,Debt Consolidation,Rented,1
9FBFEB9AD,746,5,2,9015,Employed,Debt Consolidation,Rented,1
985B227ED,120,2,2,3662,Unemployed,Small Business Funding,Mortgaged,0
6F2091DC8,940,4,2,8323,Self-employed,Small Business Funding,Rented,1
441810AB7,266,7,3,2743,Self-employed,Small Business Funding,Mortgaged,0
063BBACCA,373,7,4,4428,Employed,Education,Rented,1
3FD520EAA,487,3,4,5493,Employed,Investment,Owned,1
9769CB7DE,700,5,3,6546,Self-employed,Investment,Owned,0
4C0E1119C,415,1,4,3116,Self-employed,Debt Consolidation,Rented,0
23C36CCB6,113,10,3,9687,Employed,Investment,Owned,0
03A020518,341,10,3,9580,Self-employed,Debt Consolidation,Mortgaged,1
99008F42B,876,10,4,9926,Unemployed,Education,Rented,1
A445211AB,445,11,1,4441,Unemployed,Small Business Funding,Mortgaged,1
A76530749,664,1,1,9108,Employed,Education,Rented,1
A883D4117,997,5,2,3354,Employed,Small Business Funding,Mortgaged,1
7664B37DF,439,10,4,7827,Self-employed,Small Business Funding,Owned,1
